a6,a4,a8,a2,a7,a1,Result
0,0,0,0,0,0,0
0,0,0,0,0,1,100
0,0,0,0,0,2,0
0,0,0,0,1,0,40
0,0,0,0,1,1,140
0,0,0,0,1,2,40
0,0,0,0,2,0,0
0,0,0,0,2,1,100
0,0,0,0,2,2,0
0,0,0,1,0,0,500
0,0,0,1,0,1,600
0,0,0,1,0,2,500
0,0,0,1,1,0,540
0,0,0,1,1,1,640
0,0,0,1,1,2,540
0,0,0,1,2,0,500
0,0,0,1,2,1,600
0,0,0,1,2,2,500
0,0,0,2,0,0,0
0,0,0,2,0,1,100
0,0,0,2,0,2,0
0,0,0,2,1,0,40
0,0,0,2,1,1,140
0,0,0,2,1,2,40
0,0,0,2,2,0,0
0,0,0,2,2,1,100
0,0,0,2,2,2,0
0,0,1,0,0,0,20
0,0,1,0,0,1,120
0,0,1,0,0,2,20
0,0,1,0,1,0,60
0,0,1,0,1,1,160
0,0,1,0,1,2,60
0,0,1,0,2,0,20
0,0,1,0,2,1,120
0,0,1,0,2,2,20
0,0,1,1,0,0,520
0,0,1,1,0,1,620
0,0,1,1,0,2,520
0,0,1,1,1,0,560
0,0,1,1,1,1,660
0,0,1,1,1,2,560
0,0,1,1,2,0,520
0,0,1,1,2,1,620
0,0,1,1,2,2,520
0,0,1,2,0,0,20
0,0,1,2,0,1,120
0,0,1,2,0,2,20
0,0,1,2,1,0,60
0,0,1,2,1,1,160
0,0,1,2,1,2,60
0,0,1,2,2,0,20
0,0,1,2,2,1,120
0,0,1,2,2,2,20
0,0,2,0,0,0,0
0,0,2,0,0,1,100
0,0,2,0,0,2,0
0,0,2,0,1,0,40
0,0,2,0,1,1,140
0,0,2,0,1,2,40
0,0,2,0,2,0,0
0,0,2,0,2,1,100
0,0,2,0,2,2,0
0,0,2,1,0,0,500
0,0,2,1,0,1,600
0,0,2,1,0,2,500
0,0,2,1,1,0,540
0,0,2,1,1,1,640
0,0,2,1,1,2,540
0,0,2,1,2,0,500
0,0,2,1,2,1,600
0,0,2,1,2,2,500
0,0,2,2,0,0,0
0,0,2,2,0,1,100
0,0,2,2,0,2,0
0,0,2,2,1,0,40
0,0,2,2,1,1,140
0,0,2,2,1,2,40
0,0,2,2,2,0,0
0,0,2,2,2,1,100
0,0,2,2,2,2,0
0,1,0,0,0,0,50
0,1,0,0,0,1,150
0,1,0,0,0,2,50
0,1,0,0,1,0,90
0,1,0,0,1,1,190
0,1,0,0,1,2,90
0,1,0,0,2,0,50
0,1,0,0,2,1,150
0,1,0,0,2,2,50
0,1,0,1,0,0,550
0,1,0,1,0,1,650
0,1,0,1,0,2,550
0,1,0,1,1,0,590
0,1,0,1,1,1,690
0,1,0,1,1,2,590
0,1,0,1,2,0,550
0,1,0,1,2,1,650
0,1,0,1,2,2,550
0,1,0,2,0,0,50
0,1,0,2,0,1,150
0,1,0,2,0,2,50
0,1,0,2,1,0,90
0,1,0,2,1,1,190
0,1,0,2,1,2,90
0,1,0,2,2,0,50
0,1,0,2,2,1,150
0,1,0,2,2,2,50
0,1,1,0,0,0,70
0,1,1,0,0,1,170
0,1,1,0,0,2,70
0,1,1,0,1,0,110
0,1,1,0,1,1,210
0,1,1,0,1,2,110
0,1,1,0,2,0,70
0,1,1,0,2,1,170
0,1,1,0,2,2,70
0,1,1,1,0,0,570
0,1,1,1,0,1,670
0,1,1,1,0,2,570
0,1,1,1,1,0,610
0,1,1,1,1,1,710
0,1,1,1,1,2,610
0,1,1,1,2,0,570
0,1,1,1,2,1,670
0,1,1,1,2,2,570
0,1,1,2,0,0,70
0,1,1,2,0,1,170
0,1,1,2,0,2,70
0,1,1,2,1,0,110
0,1,1,2,1,1,210
0,1,1,2,1,2,110
0,1,1,2,2,0,70
0,1,1,2,2,1,170
0,1,1,2,2,2,70
0,1,2,0,0,0,50
0,1,2,0,0,1,150
0,1,2,0,0,2,50
0,1,2,0,1,0,90
0,1,2,0,1,1,190
0,1,2,0,1,2,90
0,1,2,0,2,0,50
0,1,2,0,2,1,150
0,1,2,0,2,2,50
0,1,2,1,0,0,550
0,1,2,1,0,1,650
0,1,2,1,0,2,550
0,1,2,1,1,0,590
0,1,2,1,1,1,690
0,1,2,1,1,2,590
0,1,2,1,2,0,550
0,1,2,1,2,1,650
0,1,2,1,2,2,550
0,1,2,2,0,0,50
0,1,2,2,0,1,150
0,1,2,2,0,2,50
0,1,2,2,1,0,90
0,1,2,2,1,1,190
0,1,2,2,1,2,90
0,1,2,2,2,0,50
0,1,2,2,2,1,150
0,1,2,2,2,2,50
0,2,0,0,0,0,0
0,2,0,0,0,1,100
0,2,0,0,0,2,0
0,2,0,0,1,0,40
0,2,0,0,1,1,140
0,2,0,0,1,2,40
0,2,0,0,2,0,0
0,2,0,0,2,1,100
0,2,0,0,2,2,0
0,2,0,1,0,0,500
0,2,0,1,0,1,600
0,2,0,1,0,2,500
0,2,0,1,1,0,540
0,2,0,1,1,1,640
0,2,0,1,1,2,540
0,2,0,1,2,0,500
0,2,0,1,2,1,600
0,2,0,1,2,2,500
0,2,0,2,0,0,0
0,2,0,2,0,1,100
0,2,0,2,0,2,0
0,2,0,2,1,0,40
0,2,0,2,1,1,140
0,2,0,2,1,2,40
0,2,0,2,2,0,0
0,2,0,2,2,1,100
0,2,0,2,2,2,0
0,2,1,0,0,0,20
0,2,1,0,0,1,120
0,2,1,0,0,2,20
0,2,1,0,1,0,60
0,2,1,0,1,1,160
0,2,1,0,1,2,60
0,2,1,0,2,0,20
0,2,1,0,2,1,120
0,2,1,0,2,2,20
0,2,1,1,0,0,520
0,2,1,1,0,1,620
0,2,1,1,0,2,520
0,2,1,1,1,0,560
0,2,1,1,1,1,660
0,2,1,1,1,2,560
0,2,1,1,2,0,520
0,2,1,1,2,1,620
0,2,1,1,2,2,520
0,2,1,2,0,0,20
0,2,1,2,0,1,120
0,2,1,2,0,2,20
0,2,1,2,1,0,60
0,2,1,2,1,1,160
0,2,1,2,1,2,60
0,2,1,2,2,0,20
0,2,1,2,2,1,120
0,2,1,2,2,2,20
0,2,2,0,0,0,0
0,2,2,0,0,1,100
0,2,2,0,0,2,0
0,2,2,0,1,0,40
0,2,2,0,1,1,140
0,2,2,0,1,2,40
0,2,2,0,2,0,0
0,2,2,0,2,1,100
0,2,2,0,2,2,0
0,2,2,1,0,0,500
0,2,2,1,0,1,600
0,2,2,1,0,2,500
0,2,2,1,1,0,540
0,2,2,1,1,1,640
0,2,2,1,1,2,540
0,2,2,1,2,0,500
0,2,2,1,2,1,600
0,2,2,1,2,2,500
0,2,2,2,0,0,0
0,2,2,2,0,1,100
0,2,2,2,0,2,0
0,2,2,2,1,0,40
0,2,2,2,1,1,140
0,2,2,2,1,2,40
0,2,2,2,2,0,0
0,2,2,2,2,1,100
0,2,2,2,2,2,0
1,0,0,0,0,0,30
1,0,0,0,0,1,130
1,0,0,0,0,2,30
1,0,0,0,1,0,70
1,0,0,0,1,1,170
1,0,0,0,1,2,70
1,0,0,0,2,0,30
1,0,0,0,2,1,130
1,0,0,0,2,2,30
1,0,0,1,0,0,530
1,0,0,1,0,1,630
1,0,0,1,0,2,530
1,0,0,1,1,0,570
1,0,0,1,1,1,670
1,0,0,1,1,2,570
1,0,0,1,2,0,530
1,0,0,1,2,1,630
1,0,0,1,2,2,530
1,0,0,2,0,0,30
1,0,0,2,0,1,130
1,0,0,2,0,2,30
1,0,0,2,1,0,70
1,0,0,2,1,1,170
1,0,0,2,1,2,70
1,0,0,2,2,0,30
1,0,0,2,2,1,130
1,0,0,2,2,2,30
1,0,1,0,0,0,50
1,0,1,0,0,1,150
1,0,1,0,0,2,50
1,0,1,0,1,0,90
1,0,1,0,1,1,190
1,0,1,0,1,2,90
1,0,1,0,2,0,50
1,0,1,0,2,1,150
1,0,1,0,2,2,50
1,0,1,1,0,0,550
1,0,1,1,0,1,650
1,0,1,1,0,2,550
1,0,1,1,1,0,590
1,0,1,1,1,1,690
1,0,1,1,1,2,590
1,0,1,1,2,0,550
1,0,1,1,2,1,650
1,0,1,1,2,2,550
1,0,1,2,0,0,50
1,0,1,2,0,1,150
1,0,1,2,0,2,50
1,0,1,2,1,0,90
1,0,1,2,1,1,190
1,0,1,2,1,2,90
1,0,1,2,2,0,50
1,0,1,2,2,1,150
1,0,1,2,2,2,50
1,0,2,0,0,0,30
1,0,2,0,0,1,130
1,0,2,0,0,2,30
1,0,2,0,1,0,70
1,0,2,0,1,1,170
1,0,2,0,1,2,70
1,0,2,0,2,0,30
1,0,2,0,2,1,130
1,0,2,0,2,2,30
1,0,2,1,0,0,530
1,0,2,1,0,1,630
1,0,2,1,0,2,530
1,0,2,1,1,0,570
1,0,2,1,1,1,670
1,0,2,1,1,2,570
1,0,2,1,2,0,530
1,0,2,1,2,1,630
1,0,2,1,2,2,530
1,0,2,2,0,0,30
1,0,2,2,0,1,130
1,0,2,2,0,2,30
1,0,2,2,1,0,70
1,0,2,2,1,1,170
1,0,2,2,1,2,70
1,0,2,2,2,0,30
1,0,2,2,2,1,130
1,0,2,2,2,2,30
1,1,0,0,0,0,80
1,1,0,0,0,1,180
1,1,0,0,0,2,80
1,1,0,0,1,0,120
1,1,0,0,1,1,220
1,1,0,0,1,2,120
1,1,0,0,2,0,80
1,1,0,0,2,1,180
1,1,0,0,2,2,80
1,1,0,1,0,0,580
1,1,0,1,0,1,680
1,1,0,1,0,2,580
1,1,0,1,1,0,620
1,1,0,1,1,1,720
1,1,0,1,1,2,620
1,1,0,1,2,0,580
1,1,0,1,2,1,680
1,1,0,1,2,2,580
1,1,0,2,0,0,80
1,1,0,2,0,1,180
1,1,0,2,0,2,80
1,1,0,2,1,0,120
1,1,0,2,1,1,220
1,1,0,2,1,2,120
1,1,0,2,2,0,80
1,1,0,2,2,1,180
1,1,0,2,2,2,80
1,1,1,0,0,0,100
1,1,1,0,0,1,200
1,1,1,0,0,2,100
1,1,1,0,1,0,140
1,1,1,0,1,1,240
1,1,1,0,1,2,140
1,1,1,0,2,0,100
1,1,1,0,2,1,200
1,1,1,0,2,2,100
1,1,1,1,0,0,600
1,1,1,1,0,1,700
1,1,1,1,0,2,600
1,1,1,1,1,0,640
1,1,1,1,1,1,740
1,1,1,1,1,2,640
1,1,1,1,2,0,600
1,1,1,1,2,1,700
1,1,1,1,2,2,600
1,1,1,2,0,0,100
1,1,1,2,0,1,200
1,1,1,2,0,2,100
1,1,1,2,1,0,140
1,1,1,2,1,1,240
1,1,1,2,1,2,140
1,1,1,2,2,0,100
1,1,1,2,2,1,200
1,1,1,2,2,2,100
1,1,2,0,0,0,80
1,1,2,0,0,1,180
1,1,2,0,0,2,80
1,1,2,0,1,0,120
1,1,2,0,1,1,220
1,1,2,0,1,2,120
1,1,2,0,2,0,80
1,1,2,0,2,1,180
1,1,2,0,2,2,80
1,1,2,1,0,0,580
1,1,2,1,0,1,680
1,1,2,1,0,2,580
1,1,2,1,1,0,620
1,1,2,1,1,1,720
1,1,2,1,1,2,620
1,1,2,1,2,0,580
1,1,2,1,2,1,680
1,1,2,1,2,2,580
1,1,2,2,0,0,80
1,1,2,2,0,1,180
1,1,2,2,0,2,80
1,1,2,2,1,0,120
1,1,2,2,1,1,220
1,1,2,2,1,2,120
1,1,2,2,2,0,80
1,1,2,2,2,1,180
1,1,2,2,2,2,80
1,2,0,0,0,0,30
1,2,0,0,0,1,130
1,2,0,0,0,2,30
1,2,0,0,1,0,70
1,2,0,0,1,1,170
1,2,0,0,1,2,70
1,2,0,0,2,0,30
1,2,0,0,2,1,130
1,2,0,0,2,2,30
1,2,0,1,0,0,530
1,2,0,1,0,1,630
1,2,0,1,0,2,530
1,2,0,1,1,0,570
1,2,0,1,1,1,670
1,2,0,1,1,2,570
1,2,0,1,2,0,530
1,2,0,1,2,1,630
1,2,0,1,2,2,530
1,2,0,2,0,0,30
1,2,0,2,0,1,130
1,2,0,2,0,2,30
1,2,0,2,1,0,70
1,2,0,2,1,1,170
1,2,0,2,1,2,70
1,2,0,2,2,0,30
1,2,0,2,2,1,130
1,2,0,2,2,2,30
1,2,1,0,0,0,50
1,2,1,0,0,1,150
1,2,1,0,0,2,50
1,2,1,0,1,0,90
1,2,1,0,1,1,190
1,2,1,0,1,2,90
1,2,1,0,2,0,50
1,2,1,0,2,1,150
1,2,1,0,2,2,50
1,2,1,1,0,0,550
1,2,1,1,0,1,650
1,2,1,1,0,2,550
1,2,1,1,1,0,590
1,2,1,1,1,1,690
1,2,1,1,1,2,590
1,2,1,1,2,0,550
1,2,1,1,2,1,650
1,2,1,1,2,2,550
1,2,1,2,0,0,50
1,2,1,2,0,1,150
1,2,1,2,0,2,50
1,2,1,2,1,0,90
1,2,1,2,1,1,190
1,2,1,2,1,2,90
1,2,1,2,2,0,50
1,2,1,2,2,1,150
1,2,1,2,2,2,50
1,2,2,0,0,0,30
1,2,2,0,0,1,130
1,2,2,0,0,2,30
1,2,2,0,1,0,70
1,2,2,0,1,1,170
1,2,2,0,1,2,70
1,2,2,0,2,0,30
1,2,2,0,2,1,130
1,2,2,0,2,2,30
1,2,2,1,0,0,530
1,2,2,1,0,1,630
1,2,2,1,0,2,530
1,2,2,1,1,0,570
1,2,2,1,1,1,670
1,2,2,1,1,2,570
1,2,2,1,2,0,530
1,2,2,1,2,1,630
1,2,2,1,2,2,530
1,2,2,2,0,0,30
1,2,2,2,0,1,130
1,2,2,2,0,2,30
1,2,2,2,1,0,70
1,2,2,2,1,1,170
1,2,2,2,1,2,70
1,2,2,2,2,0,30
1,2,2,2,2,1,130
1,2,2,2,2,2,30
2,0,0,0,0,0,0
2,0,0,0,0,1,100
2,0,0,0,0,2,0
2,0,0,0,1,0,40
2,0,0,0,1,1,140
2,0,0,0,1,2,40
2,0,0,0,2,0,0
2,0,0,0,2,1,100
2,0,0,0,2,2,0
2,0,0,1,0,0,500
2,0,0,1,0,1,600
2,0,0,1,0,2,500
2,0,0,1,1,0,540
2,0,0,1,1,1,640
2,0,0,1,1,2,540
2,0,0,1,2,0,500
2,0,0,1,2,1,600
2,0,0,1,2,2,500
2,0,0,2,0,0,0
2,0,0,2,0,1,100
2,0,0,2,0,2,0
2,0,0,2,1,0,40
2,0,0,2,1,1,140
2,0,0,2,1,2,40
2,0,0,2,2,0,0
2,0,0,2,2,1,100
2,0,0,2,2,2,0
2,0,1,0,0,0,20
2,0,1,0,0,1,120
2,0,1,0,0,2,20
2,0,1,0,1,0,60
2,0,1,0,1,1,160
2,0,1,0,1,2,60
2,0,1,0,2,0,20
2,0,1,0,2,1,120
2,0,1,0,2,2,20
2,0,1,1,0,0,520
2,0,1,1,0,1,620
2,0,1,1,0,2,520
2,0,1,1,1,0,560
2,0,1,1,1,1,660
2,0,1,1,1,2,560
2,0,1,1,2,0,520
2,0,1,1,2,1,620
2,0,1,1,2,2,520
2,0,1,2,0,0,20
2,0,1,2,0,1,120
2,0,1,2,0,2,20
2,0,1,2,1,0,60
2,0,1,2,1,1,160
2,0,1,2,1,2,60
2,0,1,2,2,0,20
2,0,1,2,2,1,120
2,0,1,2,2,2,20
2,0,2,0,0,0,0
2,0,2,0,0,1,100
2,0,2,0,0,2,0
2,0,2,0,1,0,40
2,0,2,0,1,1,140
2,0,2,0,1,2,40
2,0,2,0,2,0,0
2,0,2,0,2,1,100
2,0,2,0,2,2,0
2,0,2,1,0,0,500
2,0,2,1,0,1,600
2,0,2,1,0,2,500
2,0,2,1,1,0,540
2,0,2,1,1,1,640
2,0,2,1,1,2,540
2,0,2,1,2,0,500
2,0,2,1,2,1,600
2,0,2,1,2,2,500
2,0,2,2,0,0,0
2,0,2,2,0,1,100
2,0,2,2,0,2,0
2,0,2,2,1,0,40
2,0,2,2,1,1,140
2,0,2,2,1,2,40
2,0,2,2,2,0,0
2,0,2,2,2,1,100
2,0,2,2,2,2,0
2,1,0,0,0,0,50
2,1,0,0,0,1,150
2,1,0,0,0,2,50
2,1,0,0,1,0,90
2,1,0,0,1,1,190
2,1,0,0,1,2,90
2,1,0,0,2,0,50
2,1,0,0,2,1,150
2,1,0,0,2,2,50
2,1,0,1,0,0,550
2,1,0,1,0,1,650
2,1,0,1,0,2,550
2,1,0,1,1,0,590
2,1,0,1,1,1,690
2,1,0,1,1,2,590
2,1,0,1,2,0,550
2,1,0,1,2,1,650
2,1,0,1,2,2,550
2,1,0,2,0,0,50
2,1,0,2,0,1,150
2,1,0,2,0,2,50
2,1,0,2,1,0,90
2,1,0,2,1,1,190
2,1,0,2,1,2,90
2,1,0,2,2,0,50
2,1,0,2,2,1,150
2,1,0,2,2,2,50
2,1,1,0,0,0,70
2,1,1,0,0,1,170
2,1,1,0,0,2,70
2,1,1,0,1,0,110
2,1,1,0,1,1,210
2,1,1,0,1,2,110
2,1,1,0,2,0,70
2,1,1,0,2,1,170
2,1,1,0,2,2,70
2,1,1,1,0,0,570
2,1,1,1,0,1,670
2,1,1,1,0,2,570
2,1,1,1,1,0,610
2,1,1,1,1,1,710
2,1,1,1,1,2,610
2,1,1,1,2,0,570
2,1,1,1,2,1,670
2,1,1,1,2,2,570
2,1,1,2,0,0,70
2,1,1,2,0,1,170
2,1,1,2,0,2,70
2,1,1,2,1,0,110
2,1,1,2,1,1,210
2,1,1,2,1,2,110
2,1,1,2,2,0,70
2,1,1,2,2,1,170
2,1,1,2,2,2,70
2,1,2,0,0,0,50
2,1,2,0,0,1,150
2,1,2,0,0,2,50
2,1,2,0,1,0,90
2,1,2,0,1,1,190
2,1,2,0,1,2,90
2,1,2,0,2,0,50
2,1,2,0,2,1,150
2,1,2,0,2,2,50
2,1,2,1,0,0,550
2,1,2,1,0,1,650
2,1,2,1,0,2,550
2,1,2,1,1,0,590
2,1,2,1,1,1,690
2,1,2,1,1,2,590
2,1,2,1,2,0,550
2,1,2,1,2,1,650
2,1,2,1,2,2,550
2,1,2,2,0,0,50
2,1,2,2,0,1,150
2,1,2,2,0,2,50
2,1,2,2,1,0,90
2,1,2,2,1,1,190
2,1,2,2,1,2,90
2,1,2,2,2,0,50
2,1,2,2,2,1,150
2,1,2,2,2,2,50
2,2,0,0,0,0,0
2,2,0,0,0,1,100
2,2,0,0,0,2,0
2,2,0,0,1,0,40
2,2,0,0,1,1,140
2,2,0,0,1,2,40
2,2,0,0,2,0,0
2,2,0,0,2,1,100
2,2,0,0,2,2,0
2,2,0,1,0,0,500
2,2,0,1,0,1,600
2,2,0,1,0,2,500
2,2,0,1,1,0,540
2,2,0,1,1,1,640
2,2,0,1,1,2,540
2,2,0,1,2,0,500
2,2,0,1,2,1,600
2,2,0,1,2,2,500
2,2,0,2,0,0,0
2,2,0,2,0,1,100
2,2,0,2,0,2,0
2,2,0,2,1,0,40
2,2,0,2,1,1,140
2,2,0,2,1,2,40
2,2,0,2,2,0,0
2,2,0,2,2,1,100
2,2,0,2,2,2,0
2,2,1,0,0,0,20
2,2,1,0,0,1,120
2,2,1,0,0,2,20
2,2,1,0,1,0,60
2,2,1,0,1,1,160
2,2,1,0,1,2,60
2,2,1,0,2,0,20
2,2,1,0,2,1,120
2,2,1,0,2,2,20
2,2,1,1,0,0,520
2,2,1,1,0,1,620
2,2,1,1,0,2,520
2,2,1,1,1,0,560
2,2,1,1,1,1,660
2,2,1,1,1,2,560
2,2,1,1,2,0,520
2,2,1,1,2,1,620
2,2,1,1,2,2,520
2,2,1,2,0,0,20
2,2,1,2,0,1,120
2,2,1,2,0,2,20
2,2,1,2,1,0,60
2,2,1,2,1,1,160
2,2,1,2,1,2,60
2,2,1,2,2,0,20
2,2,1,2,2,1,120
2,2,1,2,2,2,20
2,2,2,0,0,0,0
2,2,2,0,0,1,100
2,2,2,0,0,2,0
2,2,2,0,1,0,40
2,2,2,0,1,1,140
2,2,2,0,1,2,40
2,2,2,0,2,0,0
2,2,2,0,2,1,100
2,2,2,0,2,2,0
2,2,2,1,0,0,500
2,2,2,1,0,1,600
2,2,2,1,0,2,500
2,2,2,1,1,0,540
2,2,2,1,1,1,640
2,2,2,1,1,2,540
2,2,2,1,2,0,500
2,2,2,1,2,1,600
2,2,2,1,2,2,500
2,2,2,2,0,0,0
2,2,2,2,0,1,100
2,2,2,2,0,2,0
2,2,2,2,1,0,40
2,2,2,2,1,1,140
2,2,2,2,1,2,40
2,2,2,2,2,0,0
2,2,2,2,2,1,100
2,2,2,2,2,2,0
